user_id,budget,preferred_category,product_id,category,price,demand_score,target_qty
1,1117.445060694954,grains,1,fruits,120.0,0.85,2.1411443970906037
1,1117.445060694954,grains,2,fruits,60.0,0.92,2.4639924179806925
1,1117.445060694954,grains,3,fruits,90.0,0.75,1.897740667974826
1,1117.445060694954,grains,4,fruits,150.0,0.88,1.5933450481813392
1,1117.445060694954,grains,5,fruits,110.0,0.72,1.7836467891689485
1,1117.445060694954,grains,6,vegetables,40.0,0.98,3.2715239048335927
1,1117.445060694954,grains,7,vegetables,50.0,0.95,2.896550495418349
1,1117.445060694954,grains,8,vegetables,35.0,0.93,3.4536877139543587
1,1117.445060694954,grains,9,vegetables,55.0,0.74,2.828334385278905
1,1117.445060694954,grains,10,vegetables,30.0,0.62,2.8177469129480044
1,1117.445060694954,grains,11,vegetables,70.0,0.58,2.4232132250175034
1,1117.445060694954,grains,12,dairy,62.0,0.99,3.0870722147799867
1,1117.445060694954,grains,13,dairy,130.0,0.71,1.367175817650224
1,1117.445060694954,grains,14,dairy,105.0,0.66,1.9023453319826862
1,1117.445060694954,grains,15,dairy,55.0,0.81,2.565265987302157
1,1117.445060694954,grains,16,dairy,95.0,0.84,2.4604792257721364
1,1117.445060694954,grains,17,bakery,45.0,0.88,3.024236459067561
1,1117.445060694954,grains,18,bakery,40.0,0.63,2.6395504395045792
1,1117.445060694954,grains,19,snacks,30.0,0.9,3.1294156597156695
1,1117.445060694954,grains,20,snacks,25.0,0.89,3.601179253992823
1,1117.445060694954,grains,21,snacks,55.0,0.78,2.6912236734294
1,1117.445060694954,grains,22,snacks,35.0,0.91,3.131988038608653
1,1117.445060694954,grains,23,grains,80.0,0.67,2.910750778377126
1,1117.445060694954,grains,24,grains,68.0,0.96,3.7663281803062727
1,1117.445060694954,grains,25,grains,52.0,0.94,3.9196178536446338
1,1117.445060694954,grains,26,staples,45.0,0.83,3.0410213340356536
1,1117.445060694954,grains,27,staples,22.0,0.57,2.92500078014627
1,1117.445060694954,grains,28,beverages,140.0,0.76,1.9723826316760382
1,1117.445060694954,grains,29,beverages,180.0,0.64,0.6478088558799211
1,1117.445060694954,grains,30,beverages,95.0,0.73,1.9675267590887981
2,613.0746325435862,bakery,1,fruits,120.0,0.85,1.2467162613889093
2,613.0746325435862,bakery,2,fruits,60.0,0.92,1.9322739163062408
2,613.0746325435862,bakery,3,fruits,90.0,0.75,1.063507932058557
2,613.0746325435862,bakery,4,fruits,150.0,0.88,0.44795648953824047
2,613.0746325435862,bakery,5,fruits,110.0,0.72,1.0604727703117474
2,613.0746325435862,bakery,6,vegetables,40.0,0.98,2.50285827465507
2,613.0746325435862,bakery,7,vegetables,50.0,0.95,2.267836296017456
2,613.0746325435862,bakery,8,vegetables,35.0,0.93,2.1779302213868004
2,613.0746325435862,bakery,9,vegetables,55.0,0.74,1.7724178480649915
